Wall time,Step,Value
1722599199.2399292,0,0.4441791772842407
1722599332.95019,1,0.1539134383201599
1722599408.6596358,2,0.7920002341270447
1722599588.863015,0,0.4138622581958771
1722599644.5251634,1,0.2755686044692993
1722599699.319257,2,0.3043070435523987
1722599753.7964013,3,0.03709675744175911
1722599808.5465977,4,0.09030850976705551
1722599863.1624148,5,0.07463324069976807
1722599923.7533777,6,0.3513820767402649
1722599979.8618145,7,0.0014889187877997756
1722600034.4971247,8,0.007165566552430391
1722600088.8259125,9,2.548160955484491e-05
1722600143.0454464,10,0.1510477364063263
1722600197.4342358,11,0.0028405331540852785
1722600251.8090343,12,0.007879813201725483
1722600306.3794816,13,0.018943138420581818
1722600360.7406576,14,0.0547841340303421
1722600414.738231,15,0.025552865117788315
1722600468.9561174,16,0.009242893196642399
1722600523.295261,17,0.09050794690847397
1722600577.536986,18,0.04198209196329117
1722600631.4434023,19,9.62752710620407e-06
1722600685.7954235,20,0.0333104133605957
1722600740.2197099,21,0.020287590101361275
1722600794.6143808,22,0.00025733307120390236
1722600848.9965224,23,0.04099366441369057
1722600903.3848972,24,0.13124753534793854
1722600957.9793653,25,0.14316408336162567
1722601012.4860618,26,0.0029395727906376123
1722601066.7067845,27,0.03856588900089264
1722601121.0840075,28,0.04697852209210396
1722601175.2429469,29,0.004600862972438335
1722601229.646312,30,0.04599630460143089
1722601283.785946,31,0.05793663486838341
1722601337.8082027,32,0.00843097921460867
1722601392.2330315,33,0.021049583330750465
1722601446.5583804,34,0.07042456418275833
1722601500.8060272,35,0.004798679146915674
1722601555.1667278,36,0.12018483877182007
1722601610.4093528,37,0.04500819370150566
1722601664.4871032,38,0.1621413230895996
1722601718.671433,39,0.025386841967701912
1722601772.949854,40,0.00983221922069788
1722601837.8681161,41,0.036258723586797714
1722601892.4101515,42,0.04715454950928688
1722601946.7433953,43,0.0008869048906490207
1722602001.1526084,44,2.1725143596995622e-05
1722602055.340807,45,0.020217623561620712
1722602109.7151577,46,0.0312931202352047
1722602163.9128735,47,0.02824782393872738
1722602218.2506392,48,0.03495896980166435
1722602272.462592,49,0.5488291382789612
1722602326.827688,50,6.1475489019358065e-06
1722602391.908496,51,0.0370953343808651
1722602446.571758,52,0.05174000561237335
1722602500.7901502,53,0.052631378173828125
1722602554.9360433,54,0.007074812427163124
1722602608.8945565,55,0.0290828850120306
1722602663.1043153,56,0.04845280200242996
1722602717.57262,57,0.00641667703166604
1722602771.8864982,58,0.036110714077949524
1722602826.0775938,59,0.001393032493069768
1722602880.2741473,60,0.029052840545773506
1722602934.446316,61,0.01195801142603159
1722602988.4339402,62,0.05562763661146164
1722603042.5591369,63,0.006875410210341215
1722603096.5680192,64,0.03428791090846062
1722603150.7640705,65,0.015678884461522102
1722603204.9223974,66,0.030332958325743675
1722603259.3162985,67,0.06369157880544662
1722603313.510769,68,0.009861867874860764
1722603367.8419626,69,0.01660369709134102
1722603422.1670673,70,0.4918957054615021
1722603476.4566586,71,0.01121935248374939
1722603530.4565105,72,0.002794769126921892
1722603584.6438687,73,0.019053896889090538
1722603638.7711093,74,0.02305101975798607
1722603692.9358795,75,0.0019168403232470155
1722603747.2562032,76,0.027056070044636726
1722603801.7323077,77,2.385850848440896e-06
1722603855.8857358,78,0.004938377998769283
1722603910.1300986,79,0.041684020310640335
1722603964.2883801,80,0.00671036634594202
1722604018.8978062,81,0.029276695102453232
1722604073.232157,82,0.004101080819964409
1722604127.4354897,83,0.0056112525053322315
1722604181.603015,84,0.02089739963412285
1722604236.0462656,85,0.062204357236623764
1722604290.4141283,86,0.00464717298746109
1722604344.563272,87,0.0021728205028921366
1722604398.7411945,88,0.0012830579653382301
1722604452.8916018,89,0.09174863249063492
1722604507.061234,90,2.9942086143819324e-08
1722604561.3461778,91,0.009088225662708282
1722604615.442499,92,0.022044934332370758
1722604669.6765265,93,0.05154361575841904
1722604723.651597,94,0.0007276706164702773
1722604777.8170147,95,0.012352162972092628
1722604832.2310898,96,0.00614934554323554
1722604886.3585756,97,0.017744561657309532
1722604940.594834,98,0.003452858654782176
1722604994.9657571,99,0.08880015462636948
1722605049.097733,100,0.15981021523475647
1722605103.3032072,101,0.016655737534165382
1722605157.4671898,102,0.0027085174806416035
1722605211.6926677,103,0.0648435428738594
1722605265.8312223,104,0.000838015228509903
1722605320.0678282,105,0.00609204825013876
1722605374.2561183,106,0.028199126943945885
1722605428.603755,107,0.009779291227459908
1722605482.9365566,108,0.06575366854667664
1722605537.1396823,109,0.01346803642809391
1722605591.3184285,110,0.0516468845307827
1722605645.53037,111,0.0017281558830291033
1722605699.5823762,112,0.03092898428440094
1722605753.7087483,113,0.0021168363746255636
1722605808.0521681,114,0.008081636391580105
1722605862.247717,115,9.564927313476801e-05
1722605916.4667525,116,0.011618146672844887
1722605970.7972836,117,0.08113227784633636
1722606025.1382923,118,0.004438544157892466
1722606079.3988614,119,0.010251703672111034
1722606134.7611964,120,0.03439591825008392
1722606188.9891,121,0.011600528843700886
1722606243.1019344,122,0.02113230526447296
1722606297.5329225,123,0.02432006224989891
1722606351.7505374,124,0.010637739673256874
1722606405.8873823,125,0.01397046260535717
1722606460.128719,126,0.002192741958424449
1722606514.2654402,127,0.010331359691917896
1722606568.376868,128,0.005430738441646099
1722606622.5915544,129,0.012710700742900372
1722606676.7904463,130,0.0023973938077688217
1722606731.2335515,131,0.0655049979686737
1722606785.3626442,132,0.009359247051179409
1722606840.7746973,133,0.0004829464014619589
1722606903.5929813,134,0.02267603762447834
1722606960.0933955,135,0.007283016107976437
1722607014.2670414,136,0.05050672963261604
1722607068.267124,137,0.0010313785169273615
1722607122.440529,138,0.04608656093478203
1722607176.7946954,139,0.004695533774793148
1722607231.0657017,140,0.04992924630641937
1722607285.377793,141,0.022919155657291412
1722607339.5441885,142,0.00865760538727045
1722607393.7596428,143,0.008094044402241707
1722607447.905656,144,0.012744558043777943
1722607502.0933144,145,0.08683115988969803
1722607556.1072488,146,0.010826039128005505
1722607610.9066038,147,0.024967968463897705
1722607665.2549024,148,0.02048829197883606
1722607719.440776,149,0.022748632356524467
