Wall time,Step,Value
1722599199.2399292,0,0.8909374475479126
1722599332.95019,1,0.8293090462684631
1722599408.6596358,2,0.9364119172096252
1722599588.863015,0,0.9032174348831177
1722599644.5251634,1,0.8944315910339355
1722599699.319257,2,0.8586788177490234
1722599753.7964013,3,0.8338608145713806
1722599808.5465977,4,0.9377411603927612
1722599863.1624148,5,0.9509956240653992
1722599923.7533777,6,0.9232607483863831
1722599979.8618145,7,0.7556946873664856
1722600034.4971247,8,0.6844428777694702
1722600088.8259125,9,0.5297847390174866
1722600143.0454464,10,0.9295546412467957
1722600197.4342358,11,0.8977543711662292
1722600251.8090343,12,0.9665126204490662
1722600306.3794816,13,0.9870821237564087
1722600360.7406576,14,0.9938178062438965
1722600414.738231,15,0.94498211145401
1722600468.9561174,16,0.9468809366226196
1722600523.295261,17,0.9632050395011902
1722600577.536986,18,0.9668527245521545
1722600631.4434023,19,0.5361442565917969
1722600685.7954235,20,0.9483486413955688
1722600740.2197099,21,0.978108823299408
1722600794.6143808,22,0.940112829208374
1722600848.9965224,23,0.9913539290428162
1722600903.3848972,24,0.9971439838409424
1722600957.9793653,25,0.9795262217521667
1722601012.4860618,26,0.9954072833061218
1722601066.7067845,27,0.9794960618019104
1722601121.0840075,28,0.9719966053962708
1722601175.2429469,29,0.9202411770820618
1722601229.646312,30,0.9610064029693604
1722601283.785946,31,0.9802766442298889
1722601337.8082027,32,0.9395849108695984
1722601392.2330315,33,0.9808075428009033
1722601446.5583804,34,0.9903760552406311
1722601500.8060272,35,0.9137051701545715
1722601555.1667278,36,0.9799878597259521
1722601610.4093528,37,0.9290919899940491
1722601664.4871032,38,0.9847730994224548
1722601718.6704354,39,0.9732688069343567
1722601772.949854,40,0.968450129032135
1722601837.8681161,41,0.9790403246879578
1722601892.4101515,42,0.979803740978241
1722601946.7433953,43,0.9612569808959961
1722602001.1526084,44,0.6659589409828186
1722602055.340807,45,0.9460367560386658
1722602109.7151577,46,0.9775308966636658
1722602163.9128735,47,0.995426595211029
1722602218.2506392,48,0.9636812806129456
1722602272.462592,49,0.9999997019767761
1722602326.827688,50,0.9584898352622986
1722602391.908496,51,0.965482234954834
1722602446.571758,52,0.9750163555145264
1722602500.7901502,53,0.9815097451210022
1722602554.9360433,54,0.9448027014732361
1722602608.8945565,55,0.9656385779380798
1722602663.1043153,56,0.988121747970581
1722602717.57262,57,0.9889472126960754
1722602771.8864982,58,0.9900215864181519
1722602826.0775938,59,0.9281497597694397
1722602880.2741473,60,0.9941633343696594
1722602934.446316,61,0.9347299337387085
1722602988.4339402,62,0.9743942618370056
1722603042.5588434,63,0.970649778842926
1722603096.5680192,64,0.9637371897697449
1722603150.7640705,65,0.9847622513771057
1722603204.9223974,66,0.9860460758209229
1722603259.3162985,67,0.9846504926681519
1722603313.510769,68,0.9638413786888123
1722603367.8419626,69,0.9955447912216187
1722603422.1670673,70,0.9999993443489075
1722603476.4566586,71,0.982750654220581
1722603530.4565105,72,0.9825165271759033
1722603584.6438687,73,0.9921860098838806
1722603638.7711093,74,0.975811779499054
1722603692.9358795,75,0.9973554611206055
1722603747.2562032,76,0.9651864767074585
1722603801.7323077,77,0.6781390905380249
1722603855.8857358,78,0.9754419326782227
1722603910.1300986,79,0.9762742519378662
1722603964.2883801,80,0.9542827010154724
1722604018.8978062,81,0.9916775226593018
1722604073.232157,82,0.8689000010490417
1722604127.4354897,83,0.9429528713226318
1722604181.603015,84,0.9966208338737488
1722604236.0462656,85,0.982268214225769
1722604290.4141283,86,0.9233148097991943
1722604344.563272,87,0.8935604095458984
1722604398.7411945,88,0.9992470145225525
1722604452.8910878,89,0.9904845356941223
1722604507.061234,90,0.9760600924491882
1722604561.3461778,91,0.9673637747764587
1722604615.442499,92,0.9878755807876587
1722604669.6765265,93,0.9719845652580261
1722604723.651597,94,0.9744774699211121
1722604777.8170147,95,0.999356746673584
1722604832.2310898,96,0.9889311194419861
1722604886.3585756,97,0.9675946831703186
1722604940.594834,98,0.9863930344581604
1722604994.9657571,99,0.9364203810691833
1722605049.097733,100,0.9540619850158691
1722605103.3032072,101,0.9564550518989563
1722605157.4671898,102,0.9624114036560059
1722605211.6926677,103,0.9999915957450867
1722605265.8312223,104,0.966559886932373
1722605320.0678282,105,0.9919939637184143
1722605374.2561183,106,0.9832351803779602
1722605428.603755,107,0.9764135479927063
1722605482.9365566,108,0.9930614233016968
1722605537.1396823,109,0.977037787437439
1722605591.3184285,110,0.9923387765884399
1722605645.53037,111,0.8990646004676819
1722605699.5823762,112,0.985633373260498
1722605753.7087483,113,0.998730480670929
1722605808.0521681,114,0.9591934084892273
1722605862.247717,115,0.9719362854957581
1722605916.4667525,116,0.9390789270401001
1722605970.7972836,117,0.9933629035949707
1722606025.1382923,118,0.9433196187019348
1722606079.3988614,119,0.9895104169845581
1722606134.7611964,120,0.9925010800361633
1722606188.9891,121,0.984877347946167
1722606243.1019344,122,0.9639663100242615
1722606297.5329225,123,0.9786823391914368
1722606351.7505374,124,0.9922022223472595
1722606405.8873823,125,0.9871028065681458
1722606460.128719,126,0.834442675113678
1722606514.2654402,127,0.9708688855171204
1722606568.376868,128,0.9652408957481384
1722606622.5915544,129,0.9605838656425476
1722606676.7904463,130,0.9862973690032959
1722606731.2335515,131,0.9891336560249329
1722606785.3626442,132,0.9946847558021545
1722606840.7746973,133,0.9451016783714294
1722606903.5929813,134,0.9991542100906372
1722606960.0933955,135,0.9770324230194092
1722607014.2670414,136,0.9877924919128418
1722607068.267124,137,0.9264538288116455
1722607122.440529,138,0.9978342056274414
1722607176.7946954,139,0.9795693159103394
1722607231.0657017,140,0.987746000289917
1722607285.377793,141,0.9888342618942261
1722607339.5441885,142,0.9901847243309021
1722607393.7596428,143,0.9657189846038818
1722607447.905656,144,0.9982830286026001
1722607502.0933144,145,0.9985522627830505
1722607556.1072488,146,0.9972246885299683
1722607610.9066038,147,0.9844972491264343
1722607665.2549024,148,0.9893209934234619
1722607719.440776,149,0.9827683568000793
